subscriber_id,birthday,gender,handset_vendor,region,price_plan,price_plan_monthly_fee,ARPU
1,1975-04-19,"MALE","Huawei","Brestskaya","Plan1",20.712000,43.075200
2,1974-02-03,"MALE","Samsung","Minsk","Plan1",20.712000,20.712000
3,1968-03-09,"FEMALE","Huawei","Gomelskaya","Plan1",20.712000,20.712000
4,2001-02-12,"MALE","Xiaomi","Mogilevskaya","Plan3",12.312000,17.544000
5,1983-01-16,"MALE","Samsung","Minsk","Plan3",12.312000,12.312000
6,1990-06-04,"FEMALE","Samsung","Minsk","Plan1",20.712000,30.729600
7,1982-06-06,"FEMALE","Samsung","Minskaya","Plan1",20.712000,20.760000
8,1978-01-06,"FEMALE","Huawei","Gomelskaya","Plan3",12.312000,18.072000
9,1996-01-01,"FEMALE","Samsung","Gomelskaya","Plan1",20.712000,23.962000
10,1973-03-10,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
11,1981-06-17,"MALE","Samsung","Gomelskaya","Plan1",20.712000,33.280000
12,1973-03-09,"FEMALE","Xiaomi","Brestskaya","Plan3",12.312000,18.051600
13,1958-03-17,"MALE","Huawei","Minsk","Plan1",20.712000,20.980800
14,1979-06-01,"MALE","Samsung","Minsk","Plan3",12.312000,19.752000
15,1961-03-05,"FEMALE","Samsung","Minskaya","Plan1",20.712000,43.112000
16,1995-01-01,"MALE","Xiaomi","Brestskaya","Plan1",20.712000,35.299200
17,1978-06-01,"FEMALE","Apple","Brestskaya","Plan2",14.808000,14.848000
18,1977-05-01,"FEMALE","Apple","Minskaya","Plan3",12.312000,20.832000
19,1969-01-07,"MALE","Xiaomi","Minskaya","Plan1",20.712000,20.712000
20,1986-02-20,"MALE","Xiaomi","Mogilevskaya","Plan3",12.312000,14.096000
21,2002-04-04,"MALE","Apple","Minsk","Plan2",14.808000,34.106000
22,1978-03-05,"FEMALE","Apple","Minsk","Plan3",12.312000,25.953600
23,1985-02-13,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,22.166400
24,1980-03-03,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,17.232000
25,1965-05-20,"FEMALE","Apple","Minskaya","Plan1",20.712000,23.899200
26,1976-04-01,"MALE","Apple","Minsk","Plan1",20.712000,23.144500
27,1971-07-08,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,28.504000
28,1991-04-07,"MALE","Huawei","Gomelskaya","Plan3",12.312000,32.545600
29,2001-02-06,"FEMALE","Apple","Vitebskaya","Plan2",14.808000,14.808000
30,1968-06-01,"FEMALE","Apple","Minsk","Plan3",12.312000,12.312000
31,1975-07-11,"FEMALE","Samsung","Mogilevskaya","Plan1",20.712000,37.865200
32,1975-03-06,"FEMALE","Apple","Minsk","Plan1",20.712000,20.712000
33,1993-06-05,"FEMALE","Apple","Minsk","Plan1",20.712000,43.520100
34,1954-03-05,"MALE","Apple","Mogilevskaya","Plan3",12.312000,18.784000
35,1999-06-17,"FEMALE","Apple","Minsk","Plan3",12.312000,22.224000
36,1997-01-02,"MALE","Apple","Minsk","Plan2",14.808000,25.520000
37,1959-03-09,"MALE","Samsung","Mogilevskaya","Plan3",12.312000,13.192000
38,1984-02-02,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,16.704000
39,1964-04-09,"FEMALE","Samsung","Mogilevskaya","Plan3",12.312000,12.792000
40,1997-01-15,"MALE","Huawei","Brestskaya","Plan3",12.312000,28.102800
41,1999-02-20,"MALE","Samsung","Mogilevskaya","Plan3",12.312000,29.985600
42,1984-07-17,"MALE","Samsung","Minskaya","Plan1",20.712000,21.912000
43,1970-04-13,"MALE","Xiaomi","Minsk","Plan3",12.312000,15.792000
44,1982-03-13,"FEMALE","Huawei","Gomelskaya","Plan3",12.312000,12.312000
45,1989-04-06,"FEMALE","Huawei","Mogilevskaya","Plan1",20.712000,37.185600
46,1984-02-08,"FEMALE","Xiaomi","Gomelskaya","Plan1",20.712000,39.536000
47,1959-07-15,"FEMALE","Samsung","Minskaya","Plan3",12.312000,24.289600
48,1991-04-12,"MALE","Samsung","Minskaya","Plan1",20.712000,24.331200
49,1979-04-17,"MALE","Samsung","Minskaya","Plan1",20.712000,20.961600
50,1995-05-09,"MALE","Samsung","Minsk","Plan2",14.808000,20.192000
51,1984-01-17,"FEMALE","Samsung","Mogilevskaya","Plan1",20.712000,22.521600
52,1965-07-17,"FEMALE","Samsung","Minsk","Plan1",20.712000,30.120000
53,1999-05-12,"FEMALE","Samsung","Gomelskaya","Plan1",20.712000,21.273600
54,1999-04-02,"FEMALE","Samsung","Grodnenskaya","Plan3",12.312000,21.424000
55,1996-07-12,"MALE","Samsung","Gomelskaya","Plan2",14.808000,17.624000
56,1980-06-04,"MALE","Samsung","Minsk","Plan2",14.808000,19.032000
57,1984-07-15,"FEMALE","Samsung","Minsk","Plan3",12.312000,12.392000
58,1999-02-13,"MALE","Samsung","Minskaya","Plan1",20.712000,20.712000
59,1980-01-08,"FEMALE","Samsung","Gomelskaya","Plan3",12.312000,21.896000
60,1975-07-10,"FEMALE","Samsung","Minskaya","Plan1",20.712000,38.849600
61,1956-01-08,"MALE","Huawei","Brestskaya","Plan2",14.808000,35.572800
62,1985-03-15,"MALE","Huawei","Mogilevskaya","Plan1",20.712000,20.836800
63,1997-01-16,"MALE","Huawei","Minskaya","Plan2",14.808000,28.496000
64,1979-01-11,"FEMALE","Huawei","Gomelskaya","Plan1",20.712000,34.195600
65,1984-02-18,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,17.716800
66,1997-03-14,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,28.382200
67,1977-01-01,"FEMALE","Xiaomi","Minsk","Plan3",12.312000,22.633600
68,1994-01-16,"MALE","Apple","Mogilevskaya","Plan1",20.712000,42.090900
69,1993-03-07,"FEMALE","Xiaomi","Minskaya","Plan1",20.712000,42.260800
70,1982-03-04,"MALE","Apple","Minskaya","Plan1",20.712000,21.432000
71,1974-02-16,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,12.932800
72,1983-02-09,"FEMALE","Xiaomi","Minsk","Plan4",11.232000,34.406400
73,1994-01-01,"FEMALE","Apple","Minsk","Plan1",20.712000,21.523200
74,1978-03-09,"MALE","Xiaomi","Gomelskaya","Plan1",20.712000,20.712000
75,1962-06-07,"MALE","Apple","Minsk","Plan1",20.712000,23.785600
76,1974-01-13,"MALE","Apple","Minsk","Plan1",20.712000,21.576000
77,1973-01-09,"FEMALE","Apple","Brestskaya","Plan3",12.312000,27.894400
78,1980-03-06,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
79,1997-01-05,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,17.345600
80,1975-02-05,"FEMALE","Apple","Minskaya","Plan1",20.712000,28.276800
81,2000-04-14,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
